year,state,disease,incidences
1972,AK,chickenpox__varicella_,261.0
1973,AK,chickenpox__varicella_,612.0
1974,AK,chickenpox__varicella_,466.0
1975,AK,chickenpox__varicella_,332.0
1976,AK,chickenpox__varicella_,467.0
1977,AK,chickenpox__varicella_,613.0
1978,AK,chickenpox__varicella_,555.0
1979,AK,chickenpox__varicella_,326.0
1980,AK,chickenpox__varicella_,267.0
1981,AK,chickenpox__varicella_,368.0
1982,AK,chickenpox__varicella_,0.0
1983,AK,chickenpox__varicella_,0.0
1984,AK,chickenpox__varicella_,0.0
1985,AK,chickenpox__varicella_,0.0
1986,AK,chickenpox__varicella_,0.0
1987,AK,chickenpox__varicella_,0.0
1988,AK,chickenpox__varicella_,0.0
1989,AK,chickenpox__varicella_,0.0
1990,AK,chickenpox__varicella_,0.0
1991,AK,chickenpox__varicella_,0.0
1992,AK,chickenpox__varicella_,0.0
1993,AK,chickenpox__varicella_,0.0
1994,AK,chickenpox__varicella_,0.0
1995,AK,chickenpox__varicella_,0.0
1996,AK,chickenpox__varicella_,0.0
1997,AK,chickenpox__varicella_,0.0
1998,AK,chickenpox__varicella_,0.0
1999,AK,chickenpox__varicella_,0.0
2000,AK,chickenpox__varicella_,0.0
2001,AK,chickenpox__varicella_,0.0
2002,AK,chickenpox__varicella_,0.0
2003,AK,chickenpox__varicella_,0.0
2004,AK,chickenpox__varicella_,0.0
2005,AK,chickenpox__varicella_,0.0
2006,AK,chickenpox__varicella_,0.0
2007,AK,chickenpox__varicella_,25.0
2008,AK,chickenpox__varicella_,61.0
2009,AK,chickenpox__varicella_,41.0
2010,AK,chickenpox__varicella_,3.0
2011,AK,chickenpox__varicella_,2.0
2012,AK,chickenpox__varicella_,42.0
2013,AK,chickenpox__varicella_,35.0
2014,AK,chickenpox__varicella_,27.0
1966,AK,hepatitis_a,90.0
1967,AK,hepatitis_a,39.0
1968,AK,hepatitis_a,84.0
1969,AK,hepatitis_a,63.0
1970,AK,hepatitis_a,113.0
1971,AK,hepatitis_a,96.0
1972,AK,hepatitis_a,199.0
1973,AK,hepatitis_a,225.0
1974,AK,hepatitis_a,248.0
1975,AK,hepatitis_a,409.0
1976,AK,hepatitis_a,1094.0
1977,AK,hepatitis_a,551.0
1978,AK,hepatitis_a,125.0
1979,AK,hepatitis_a,61.0
1980,AK,hepatitis_a,18.0
1981,AK,hepatitis_a,45.0
1982,AK,hepatitis_a,17.0
1983,AK,hepatitis_a,43.0
1984,AK,hepatitis_a,14.0
1985,AK,hepatitis_a,18.0
1986,AK,hepatitis_a,66.0
1987,AK,hepatitis_a,240.0
1988,AK,hepatitis_a,0.0
1989,AK,hepatitis_a,0.0
1990,AK,hepatitis_a,0.0
1991,AK,hepatitis_a,0.0
1992,AK,hepatitis_a,0.0
1993,AK,hepatitis_a,0.0
1994,AK,hepatitis_a,38.0
1995,AK,hepatitis_a,0.0
1996,AK,hepatitis_a,0.0
1997,AK,hepatitis_a,0.0
1998,AK,hepatitis_a,0.0
1999,AK,hepatitis_a,0.0
2000,AK,hepatitis_a,0.0
2001,AK,hepatitis_a,0.0
2002,AK,hepatitis_a,0.0
2003,AK,hepatitis_a,0.0
2004,AK,hepatitis_a,0.0
2005,AK,hepatitis_a,0.0
2006,AK,hepatitis_a,0.0
2007,AK,hepatitis_a,1.0
2008,AK,hepatitis_a,1.0
2009,AK,hepatitis_a,2.0
2010,AK,hepatitis_a,0.0
2011,AK,hepatitis_a,0.0
2012,AK,hepatitis_a,1.0
2013,AK,hepatitis_a,0.0
2014,AK,hepatitis_a,1.0
1955,AK,hepatitis_b,24.0
1956,AK,hepatitis_b,2.0
1957,AK,hepatitis_b,45.0
1958,AK,hepatitis_b,64.0
1959,AK,hepatitis_b,40.0
1960,AK,hepatitis_b,166.0
1961,AK,hepatitis_b,409.0
1962,AK,hepatitis_b,133.0
1963,AK,hepatitis_b,49.0
1964,AK,hepatitis_b,259.0
1965,AK,hepatitis_b,0.0
1966,AK,hepatitis_b,0.0
1967,AK,hepatitis_b,0.0
1968,AK,hepatitis_b,0.0
1969,AK,hepatitis_b,0.0
1970,AK,hepatitis_b,6.0
1971,AK,hepatitis_b,2.0
1972,AK,hepatitis_b,35.0
1973,AK,hepatitis_b,40.0
