year,fips_code,state,county_name,population
1990,1001,AL,Autauga County,34356
1991,1001,AL,Autauga County,35018
1992,1001,AL,Autauga County,36002
1993,1001,AL,Autauga County,36976
1994,1001,AL,Autauga County,38218
1995,1001,AL,Autauga County,39154
1996,1001,AL,Autauga County,40251
1997,1001,AL,Autauga County,41293
1998,1001,AL,Autauga County,42193
1999,1001,AL,Autauga County,43140
1990,1003,AL,Baldwin County,98921
1991,1003,AL,Baldwin County,102229
1992,1003,AL,Baldwin County,106228
1993,1003,AL,Baldwin County,110873
1994,1003,AL,Baldwin County,115834
1995,1003,AL,Baldwin County,119962
1996,1003,AL,Baldwin County,124261
1997,1003,AL,Baldwin County,128770
1998,1003,AL,Baldwin County,132857
1999,1003,AL,Baldwin County,135820
1990,1005,AL,Barbour County,25452
1991,1005,AL,Barbour County,26227
1992,1005,AL,Barbour County,26435
1993,1005,AL,Barbour County,26637
1994,1005,AL,Barbour County,26788
1995,1005,AL,Barbour County,26665
1996,1005,AL,Barbour County,26866
1997,1005,AL,Barbour County,26747
1998,1005,AL,Barbour County,26936
1999,1005,AL,Barbour County,26726
1990,1007,AL,Bibb County,16675
1991,1007,AL,Bibb County,16956
1992,1007,AL,Bibb County,17191
1993,1007,AL,Bibb County,17447
1994,1007,AL,Bibb County,17643
1995,1007,AL,Bibb County,17988
1996,1007,AL,Bibb County,18256
1997,1007,AL,Bibb County,18639
1998,1007,AL,Bibb County,18987
1999,1007,AL,Bibb County,19601
1990,1009,AL,Blount County,39410
1991,1009,AL,Blount County,39868
1992,1009,AL,Blount County,40230
1993,1009,AL,Blount County,40992
1994,1009,AL,Blount County,41363
1995,1009,AL,Blount County,42586
1996,1009,AL,Blount County,43544
1997,1009,AL,Blount County,44897
1998,1009,AL,Blount County,46292
1999,1009,AL,Blount County,47411
1990,1011,AL,Bullock County,11022
1991,1011,AL,Bullock County,11139
1992,1011,AL,Bullock County,11032
1993,1011,AL,Bullock County,11085
1994,1011,AL,Bullock County,11191
1995,1011,AL,Bullock County,11209
1996,1011,AL,Bullock County,11307
1997,1011,AL,Bullock County,11310
1998,1011,AL,Bullock County,11325
1999,1011,AL,Bullock County,11343
1990,1013,AL,Butler County,21884
1991,1013,AL,Butler County,21742
1992,1013,AL,Butler County,21772
1993,1013,AL,Butler County,21781
1994,1013,AL,Butler County,21811
1995,1013,AL,Butler County,21773
1996,1013,AL,Butler County,21801
1997,1013,AL,Butler County,21769
1998,1013,AL,Butler County,21658
1999,1013,AL,Butler County,21522
1990,1015,AL,Calhoun County,116115
1991,1015,AL,Calhoun County,115218
1992,1015,AL,Calhoun County,115749
1993,1015,AL,Calhoun County,116250
1994,1015,AL,Calhoun County,116078
1995,1015,AL,Calhoun County,116687
1996,1015,AL,Calhoun County,116577
1997,1015,AL,Calhoun County,117132
1998,1015,AL,Calhoun County,117083
1999,1015,AL,Calhoun County,116541
1990,1017,AL,Chambers County,36882
1991,1017,AL,Chambers County,36902
1992,1017,AL,Chambers County,37025
1993,1017,AL,Chambers County,36997
1994,1017,AL,Chambers County,37032
1995,1017,AL,Chambers County,37133
1996,1017,AL,Chambers County,36857
1997,1017,AL,Chambers County,36640
1998,1017,AL,Chambers County,36706
1999,1017,AL,Chambers County,36369
1990,1019,AL,Cherokee County,19603
1991,1019,AL,Cherokee County,19676
1992,1019,AL,Cherokee County,19814
1993,1019,AL,Cherokee County,20174
1994,1019,AL,Cherokee County,20497
1995,1019,AL,Cherokee County,20958
1996,1019,AL,Cherokee County,21281
1997,1019,AL,Cherokee County,21601
1998,1019,AL,Cherokee County,21827
1999,1019,AL,Cherokee County,21894
1990,1021,AL,Chilton County,32520
1991,1021,AL,Chilton County,33045
1992,1021,AL,Chilton County,33220
1993,1021,AL,Chilton County,33661
1994,1021,AL,Chilton County,34195
1995,1021,AL,Chilton County,34849
1996,1021,AL,Chilton County,35631
1997,1021,AL,Chilton County,36310
1998,1021,AL,Chilton County,36926
1999,1021,AL,Chilton County,37604
1990,1023,AL,Choctaw County,15984
1991,1023,AL,Choctaw County,15996
1992,1023,AL,Choctaw County,16118
1993,1023,AL,Choctaw County,16102
1994,1023,AL,Choctaw County,16050
1995,1023,AL,Choctaw County,15991
1996,1023,AL,Choctaw County,15989
1997,1023,AL,Choctaw County,15883
1998,1023,AL,Choctaw County,15829
1999,1023,AL,Choctaw County,15518
1990,1025,AL,Clarke County,27311
1991,1025,AL,Clarke County,27503
1992,1025,AL,Clarke County,27727
1993,1025,AL,Clarke County,27827
1994,1025,AL,Clarke County,28037
1995,1025,AL,Clarke County,27938
1996,1025,AL,Clarke County,28077
1997,1025,AL,Clarke County,28606
1998,1025,AL,Clarke County,28531
1999,1025,AL,Clarke County,28756
1990,1027,AL,Clay County,13281
